3.06745e-04 1.46358e-04  2.80567e+00 2.80577e+00 6.24719e-05
3.07853e-04 1.21879e-04  2.82574e+00 2.82582e+00 6.25352e-05
3.08961e-04 1.24186e-04  2.84589e+00 2.84597e+00 6.26287e-05
3.10070e-04 1.74484e-04  2.86611e+00 2.86624e+00 6.27161e-05
3.11178e-04 2.05396e-04  2.88640e+00 2.88655e+00 6.28239e-05
3.12286e-04 2.67879e-04  2.90675e+00 2.90695e+00 6.29301e-05
3.13395e-04 3.66271e-04  2.92715e+00 2.92744e+00 6.29739e-05
3.14503e-04 3.85956e-04  2.94764e+00 2.94795e+00 6.30787e-05
3.15612e-04 3.76609e-04  2.96822e+00 2.96852e+00 6.32201e-05
3.16721e-04 3.05076e-04  2.98888e+00 2.98913e+00 6.33371e-05
3.17830e-04 2.00091e-04  3.00961e+00 3.00976e+00 6.34378e-05
3.18939e-04 1.54627e-04  3.03039e+00 3.03050e+00 6.35207e-05
3.20048e-04 1.39875e-04  3.05123e+00 3.05132e+00 6.35971e-05
3.21157e-04 1.19756e-04  3.07214e+00 3.07222e+00 6.37181e-05
3.22267e-04 1.43036e-04  3.09315e+00 3.09325e+00 6.38020e-05
3.23376e-04 1.39489e-04  3.11425e+00 3.11434e+00 6.38968e-05
3.24486e-04 1.84250e-04  3.13541e+00 3.13554e+00 6.39726e-05
3.25596e-04 2.72917e-04  3.15663e+00 3.15684e+00 6.40502e-05
3.26706e-04 3.27323e-04  3.17789e+00 3.17816e+00 6.41504e-05
3.27816e-04 3.60420e-04  3.19924e+00 3.19953e+00 6.42247e-05
3.28926e-04 3.71826e-04  3.22067e+00 3.22098e+00 6.42911e-05
3.30036e-04 3.04194e-04  3.24220e+00 3.24244e+00 6.43599e-05
3.31147e-04 2.57839e-04  3.26380e+00 3.26400e+00 6.44628e-05
3.32257e-04 1.91149e-04  3.28546e+00 3.28559e+00 6.45530e-05
3.33368e-04 1.36050e-04  3.30716e+00 3.30725e+00 6.46218e-05
3.34479e-04 1.35546e-04  3.32893e+00 3.32903e+00 6.46775e-05
3.35589e-04 1.41102e-04  3.35080e+00 3.35090e+00 6.47311e-05
3.36700e-04 1.44526e-04  3.37275e+00 3.37285e+00 6.47843e-05
3.37812e-04 1.87990e-04  3.39479e+00 3.39492e+00 6.48541e-05
3.38923e-04 2.00020e-04  3.41688e+00 3.41703e+00 6.49465e-05
3.40034e-04 2.66513e-04  3.43902e+00 3.43923e+00 6.50365e-05
3.41146e-04 3.51803e-04  3.46123e+00 3.46151e+00 6.51312e-05
3.42257e-04 3.76548e-04  3.48352e+00 3.48382e+00 6.52631e-05
3.43369e-04 3.59594e-04  3.50590e+00 3.50618e+00 6.53536e-05
